,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
753,601–800,Universiti Sains MalaysiaMalaysia,21394,11.2,13%,65 : 35
754,601–800,University of SalamancaSpain,29243,17.7,15%,58 : 42
755,601–800,University of SalfordUnited Kingdom,15947,18.8,25%,51 : 49
756,601–800,University of San DiegoUnited States,7671,13.0,8%,56 : 44
757,601–800,University of Santiago de CompostelaSpain,26118,15.2,8%,62 : 38
758,601–800,University of SassariItaly,12227,21.2,1%,61 : 39
759,601–800,University of SevilleSpain,55395,19.4,7%,54 : 46
760,601–800,Sharif University of TechnologyIran,9435,19.0,0%,26 : 74
761,601–800,Shenzhen UniversityChinaExplore,34095,17.2,1%,47 : 53
762,601–800,Université de SherbrookeCanada,15148,12.7,8%,55 : 45
763,601–800,Shiraz University of TechnologyIran,1512,14.5,0%,36 : 64
764,601–800,Sichuan UniversityChinaExplore,59998,13.8,3%,50 : 50
765,601–800,Sogang UniversitySouth Korea,9636,22.2,8%,43 : 57
766,601–800,University of South AlabamaUnited States,14391,15.0,6%,61 : 39
767,601–800,University of South DakotaUnited States,15570,35.3,3%,61 : 39
768,601–800,University of Southern QueenslandAustralia,11815,26.4,16%,58 : 42
769,601–800,University of SplitCroatia,20093,28.3,2%,
770,601–800,Suez Canal UniversityEgypt,39113,12.5,1%,62 : 38
771,601–800,University of the Sunshine CoastAustraliaExplore,8915,29.2,16%,64 : 36
772,601–800,University of SzegedHungary,20388,13.1,14%,57 : 43
773,601–800,University of TabrizIran,23480,29.9,0%,50 : 50
774,601–800,Tallinn University of TechnologyEstonia,10431,20.8,15%,43 : 57
775,601–800,Technical University of MadridSpain,39269,13.2,13%,32 : 68
776,601–800,University of Technology of CompiègneFrance,4254,15.9,24%,37 : 63
777,601–800,University of TehranIran,55645,25.7,2%,43 : 57
778,601–800,Tehran University of Medical SciencesIran,12230,7.2,6%,58 : 42
779,601–800,Universiti Teknologi MalaysiaMalaysia,17726,10.9,17%,52 : 48
780,601–800,Universiti Teknologi PetronasMalaysia,6448,16.5,21%,33 : 67
781,601–800,University of Texas at ArlingtonUnited States,27061,23.8,15%,55 : 45
782,601–800,University of Texas at El PasoUnited States,16744,23.6,8%,53 : 47
783,601–800,Texas Tech UniversityUnited States,32486,22.2,9%,46 : 54
784,601–800,Tezpur UniversityIndia,3454,12.4,0%,38 : 62
785,601–800,University of Trás-os-Montes and Alto DouroPortugal,6770,12.4,4%,57 : 43
786,601–800,Ulster UniversityUnited Kingdom,17919,18.9,8%,56 : 44
787,601–800,University of VigoSpain,19699,17.0,6%,50 : 50
788,601–800,University of WarsawPoland,49752,14.0,9%,65 : 35
789,601–800,Waseda UniversityJapan,49761,16.0,10%,37 : 63
790,601–800,University of the West of EnglandUnited Kingdom,20893,18.0,20%,53 : 47
791,601–800,University of the Western CapeSouth Africa,21246,32.4,8%,60 : 40
792,601–800,Western Washington UniversityUnited States,13726,17.7,1%,57 : 43
793,601–800,University of WestminsterUnited Kingdom,16966,18.1,47%,59 : 41
794,601–800,West Virginia UniversityUnited States,23689,16.8,8%,47 : 53
795,601–800,University of WindsorCanada,13427,24.8,18%,
796,601–800,University of WolverhamptonUnited Kingdom,15468,20.4,21%,59 : 41
797,601–800,Yeungnam UniversitySouth Korea,20389,14.5,5%,50 : 50
798,601–800,Yokohama City UniversityJapan,4910,3.7,2%,56 : 44
799,601–800,University of ZaragozaSpain,28008,10.3,4%,54 : 46
800,801–1000,Acharya Nagarjuna UniversityIndia,4730,13.4,5%,35 : 65
801,801–1000,University of A CoruñaSpain,15159,11.4,2%,52 : 48
802,801–1000,"Adam Mickiewicz University, PoznańPoland",37630,14.0,2%,70 : 30
803,801–1000,AGH University of Science and TechnologyPoland,31252,14.1,2%,
804,801–1000,"University of Agriculture, FaisalabadPakistan",22178,32.0,0%,42 : 58
805,801–1000,Aichi Medical UniversityJapan,1272,2.9,1%,60 : 40
806,801–1000,Ajou UniversitySouth Korea,11349,10.0,5%,36 : 64
807,801–1000,Alexandria UniversityEgypt,175270,25.0,3%,54 : 46
808,801–1000,Al-Farabi Kazakh National UniversityKazakhstan,16931,4.6,14%,56 : 44
809,801–1000,University of AlicanteSpain,27639,19.0,9%,58 : 42
810,801–1000,Aligarh Muslim UniversityIndia,17884,14.3,2%,32 : 68
811,801–1000,University of AlmeríaSpain,12883,19.2,7%,56 : 44
812,801–1000,American University of SharjahUnited Arab Emirates,5769,14.2,84%,49 : 51
813,801–1000,Anadolu UniversityTurkey,1413003,865.8,1%,44 : 56
814,801–1000,"Asia University, TaiwanTaiwan",12320,26.0,3%,58 : 42
815,801–1000,Atılım UniversityTurkeyExplore,7624,13.7,7%,40 : 60
816,801–1000,Austral University of ChileChile,14873,16.7,2%,49 : 51
817,801–1000,Universidad Autónoma de QuerétaroMexico,21812,36.8,1%,56 : 44
818,801–1000,Azarbaijan Shahid Madani UniversityIran,6322,23.9,0%,65 : 35
819,801–1000,Babeş-Bolyai UniversityRomania,36888,24.5,2%,64 : 36
820,801–1000,University of BaghdadIraq,66948,10.2,0%,58 : 42
821,801–1000,Bandung Institute of Technology (ITB)Indonesia,18643,11.8,2%,41 : 59
822,801–1000,Bauman Moscow State Technical UniversityRussian Federation,20510,3.9,7%,25 : 75
823,801–1000,University of BedfordshireUnited Kingdom,10683,18.8,32%,62 : 38
824,801–1000,Beijing Jiaotong UniversityChina,25110,13.4,7%,
825,801–1000,University of BéjaïaAlgeria,42689,25.8,0%,61 : 39
826,801–1000,Belgorod State National Research UniversityRussian Federation,13883,12.9,15%,67 : 33
827,801–1000,University of BelgradeSerbia,99760,21.1,5%,61 : 39
828,801–1000,"Birla Institute of Technology and Science, PilaniIndia",12612,17.2,0%,19 : 81
829,801–1000,University of BrasíliaBrazil,52039,18.4,2%,51 : 49
830,801–1000,Brno University of TechnologyCzech Republic,21522,20.8,21%,28 : 72
831,801–1000,University of BucharestRomania,31388,24.2,2%,70 : 30
832,801–1000,Budapest University of Technology and EconomicsHungary,19499,17.6,7%,30 : 70
833,801–1000,University of BurgosSpain,7394,13.4,3%,56 : 44
834,801–1000,Cairo UniversityEgypt,233999,42.1,2%,47 : 53
835,801–1000,"California Polytechnic State University, San Luis ObispoUnited States",19461,20.1,2%,48 : 52
836,801–1000,Capital Medical UniversityChina,12826,7.1,5%,68 : 32
837,801–1000,University of Castilla-La ManchaSpain,23309,13.6,6%,56 : 44
838,801–1000,University of Central LancashireUnited Kingdom,18389,16.4,18%,57 : 43
839,801–1000,University of Cergy-PontoiseFrance,17161,19.1,15%,56 : 44
840,801–1000,"University of Chemistry and Technology, PragueCzech Republic",4312,10.0,20%,62 : 38
841,801–1000,Chiang Mai UniversityThailand,36635,16.2,1%,61 : 39
842,801–1000,"China University of Geosciences, WuhanChina",28652,17.2,3%,
843,801–1000,China University of Mining and TechnologyChina,45518,18.8,2%,30 : 70
844,801–1000,"China University of Petroleum, BeijingChina",15127,18.9,4%,
845,801–1000,China Pharmaceutical UniversityChina,15646,17.0,2%,
846,801–1000,Chongqing UniversityChinaExplore,47031,17.0,4%,
847,801–1000,Chonnam National UniversitySouth KoreaExplore,23261,17.1,5%,49 : 51
848,801–1000,Chulalongkorn UniversityThailandExplore,36781,12.3,2%,59 : 41
849,801–1000,Chung Yuan Christian UniversityTaiwan,16034,33.0,11%,43 : 57
850,801–1000,Comenius University in BratislavaSlovakia,21376,10.4,12%,67 : 33
851,801–1000,Czech University of Life Sciences Prague (CZU)Czech Republic,17094,20.5,19%,54 : 46
852,801–1000,Czech Technical University in PragueCzech Republic,20387,13.1,18%,31 : 69
853,801–1000,University of DebrecenHungaryExplore,26752,17.0,16%,56 : 44
854,801–1000,De La Salle UniversityPhilippinesExplore,17679,19.3,3%,52 : 48
855,801–1000,University of DerbyUnited Kingdom,12500,14.9,13%,56 : 44
856,801–1000,Dublin Institute of TechnologyIreland,15288,21.0,20%,42 : 58
857,801–1000,East Carolina UniversityUnited States,25297,14.1,2%,59 : 41
858,801–1000,University of East LondonUnited Kingdom,10639,16.9,32%,63 : 37
859,801–1000,Edge Hill UniversityUnited Kingdom,12025,14.6,5%,68 : 32
860,801–1000,Erciyes UniversityTurkey,38308,26.7,3%,47 : 53
861,801–1000,Universidade Estadual Paulista (Unesp)Brazil,30718,9.7,4%,49 : 51
862,801–1000,University of ÉvoraPortugal,7254,13.9,12%,55 : 45
863,801–1000,Fayoum UniversityEgypt,30087,15.0,0%,39 : 61
864,801–1000,Universidade Federal do ABC (UFABC)Brazil,14320,20.9,1%,26 : 74
865,801–1000,Universidade Federal da BahiaBrazil,32614,12.7,1%,52 : 48
866,801–1000,Federal University of PelotasBrazil,18700,14.0,1%,56 : 44
867,801–1000,Universidade Federal de Santa CatarinaBrazil,37964,16.7,3%,49 : 51
868,801–1000,Federal University of São CarlosBrazil,18258,14.6,2%,49 : 51
869,801–1000,Ferdowsi University of MashhadIran,23334,28.4,5%,57 : 43
870,801–1000,Ferhat Abbas Sétif University 1Algeria,32283,21.9,1%,62 : 38
871,801–1000,Florida Atlantic UniversityUnited States,23449,18.7,11%,60 : 40
872,801–1000,Florida Institute of TechnologyUnited States,5483,13.8,36%,34 : 66
873,801–1000,University of La FronteraChile,10310,26.5,0%,44 : 56
874,801–1000,Fu Jen Catholic UniversityTaiwan,23161,18.9,8%,58 : 42
875,801–1000,Gebze Technical UniversityTurkey,6620,25.4,2%,34 : 66
876,801–1000,University of GhanaGhana,37010,24.6,2%,44 : 56
877,801–1000,University of GuilanIran,16525,27.4,0%,56 : 44
878,801–1000,Hamamatsu University School of MedicineJapan,1205,3.8,1%,49 : 51
879,801–1000,Hyogo College of MedicineJapan,878,1.9,1%,36 : 64
880,801–1000,Indian Institute of Science Education and Research KolkataIndia,1199,12.5,0%,27 : 73
881,801–1000,Indian Institute of Technology (Indian School of Mines) DhanbadIndia,7370,23.0,1%,14 : 86
882,801–1000,Universidad Industrial de Santander (UIS)Colombia,20014,23.9,0%,46 : 54
883,801–1000,Inha UniversitySouth Korea,19384,23.7,5%,39 : 61
884,801–1000,Iran University of Medical SciencesIran,8600,8.4,3%,50 : 50
885,801–1000,University of IsfahanIran,12900,19.8,1%,59 : 41
886,801–1000,Istanbul UniversityTurkey,93109,44.7,8%,48 : 52
887,801–1000,Iuliu Haţieganu University of Medicine and Pharmacy Cluj-NapocaRomania,7121,6.9,33%,64 : 36
888,801–1000,University of JaénSpain,15728,19.2,8%,55 : 45
889,801–1000,Jamia Millia IslamiaIndia,11902,10.9,2%,42 : 58
890,801–1000,Jeonbuk National UniversitySouth KoreaExplore,21221,20.6,4%,45 : 55
891,801–1000,Jiangsu UniversityChina,34251,9.5,4%,42 : 58
892,801–1000,The Jikei University School of MedicineJapan,1041,0.9,0%,46 : 54
893,801–1000,Jilin UniversityChinaExplore,69305,10.7,3%,48 : 52
894,801–1000,Jinan UniversityChinaExplore,35904,14.4,28%,59 : 41
895,801–1000,The University of JordanJordan,31305,16.7,15%,66 : 34
896,801–1000,Kagawa UniversityJapan,6426,9.5,2%,40 : 60
897,801–1000,Kanazawa UniversityJapan,10430,10.4,5%,36 : 64
898,801–1000,Kansai Medical UniversityJapan,845,1.2,2%,37 : 63
899,801–1000,Kaohsiung Medical UniversityTaiwan,6896,12.0,7%,56 : 44
900,801–1000,King Mongkut’s University of Technology ThonburiThailand,16410,22.3,1%,47 : 53
901,801–1000,K.N. Toosi University of TechnologyIran,6646,21.6,1%,33 : 67
902,801–1000,Kochi UniversityJapan,5563,8.2,2%,45 : 55
903,801–1000,Kumamoto UniversityJapan,10237,7.7,7%,37 : 63
904,801–1000,Kuwait UniversityKuwaitExplore,37207,22.0,14%,73 : 27
905,801–1000,Kyungpook National UniversitySouth KoreaExplore,24981,20.4,6%,44 : 56
906,801–1000,Kyushu Institute of Technology (Kyutech)Japan,5723,16.4,4%,13 : 87
907,801–1000,University of LatviaLatvia,15197,13.6,5%,63 : 37
908,801–1000,Leeds Beckett UniversityUnited Kingdom,20099,20.0,13%,50 : 50
909,801–1000,University of MariborSlovenia,12571,14.4,5%,54 : 46
910,801–1000,University of Marrakech Cadi AyyadMorocco,85610,55.6,1%,48 : 52
911,801–1000,University of MazandaranIran,13164,36.2,2%,64 : 36
912,801–1000,Metropolitan Autonomous UniversityMexico,57742,20.1,0%,48 : 52
913,801–1000,Mohammed V University of RabatMorocco,75254,33.1,4%,56 : 44
914,801–1000,University of MurciaSpain,30233,18.1,7%,61 : 39
915,801–1000,Nagasaki UniversityJapan,9144,6.9,4%,37 : 63
916,801–1000,Nagoya City UniversityJapan,4385,7.5,3%,52 : 48
917,801–1000,National Central UniversityTaiwan,11277,9.7,10%,34 : 66
918,801–1000,National Chengchi UniversityTaiwan,14670,17.8,16%,57 : 43
919,801–1000,National Chung Hsing UniversityTaiwan,15163,15.5,4%,39 : 61
920,801–1000,National University of CuyoArgentina,45269,10.1,8%,58 : 42
921,801–1000,National Dong Hwa UniversityTaiwanExplore,10154,17.9,9%,50 : 50
922,801–1000,"National Institute of Technology, TiruchirappalliIndia",5981,18.5,7%,23 : 77
923,801–1000,National University of San MartínArgentina,14981,15.6,5%,66 : 34
924,801–1000,National University of Sciences and TechnologyPakistan,10446,7.6,3%,35 : 65
925,801–1000,National Taipei UniversityTaiwan,8580,16.9,4%,54 : 46
926,801–1000,National Taipei University of TechnologyTaiwanExplore,10092,16.3,8%,26 : 74
927,801–1000,National Taiwan Ocean UniversityTaiwan,8707,21.9,7%,31 : 69
928,801–1000,Niigata UniversityJapanExplore,12430,7.9,4%,38 : 62
929,801–1000,Normandy UniversityFrance,66189,20.7,11%,
930,801–1000,"Northeastern University, ChinaChina",33718,14.4,4%,
931,801–1000,University of Northern British Columbia (UNBC)Canada,2684,14.2,9%,60 : 40
932,801–1000,Northwest UniversityChina,23155,14.4,3%,56 : 44
933,801–1000,NorthWest A&F UniversityChina,29666,15.5,1%,48 : 52
934,801–1000,Novosibirsk State Technical UniversityRussian Federation,12643,11.6,17%,43 : 57
935,801–1000,Oakland UniversityUnited States,15927,19.3,3%,58 : 42
936,801–1000,Ocean University of ChinaChina,32161,17.6,3%,52 : 48
937,801–1000,Okayama UniversityJapan,13189,7.9,4%,39 : 61
938,801–1000,Osaka City UniversityJapan,8325,8.8,4%,36 : 64
939,801–1000,Osmania UniversityIndia,12017,16.3,3%,29 : 71
940,801–1000,University of OstravaCzech Republic,9382,20.4,7%,70 : 30
941,801–1000,Pablo de Olavide UniversitySpain,12025,15.2,17%,60 : 40
942,801–1000,Paris Nanterre UniversityFrance,32735,35.0,17%,62 : 38
943,801–1000,University of PatrasGreece,26098,29.9,4%,49 : 51
944,801–1000,Pondicherry UniversityIndia,6185,17.0,0%,38 : 62
945,801–1000,Pontifical Catholic University of PeruPeru,22322,7.0,3%,47 : 53
946,801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS)Brazil,19398,23.2,0%,50 : 50
947,801–1000,Universiti Putra MalaysiaMalaysia,23853,10.2,20%,64 : 36
948,801–1000,University Rey Juan CarlosSpain,36643,26.6,14%,58 : 42
949,801–1000,Riga Technical UniversityLatvia,10564,26.6,10%,34 : 66
950,801–1000,Robert Gordon UniversityUnited Kingdom,9406,18.0,23%,61 : 39
951,801–1000,University of RoehamptonUnited Kingdom,7692,17.1,29%,72 : 28
952,801–1000,Saitama UniversityJapan,8602,13.7,5%,33 : 67
953,801–1000,Samara National Research University (Samara University)Russian Federation,9934,10.3,7%,51 : 49
954,801–1000,Sapporo Medical UniversityJapan,1332,3.5,0%,41 : 59
955,801–1000,University of Science and Technology BeijingChina,24090,14.9,4%,36 : 64
956,801–1000,University of SeoulSouth Korea,8857,16.8,5%,
957,801–1000,University of SfaxTunisia,33185,14.4,1%,67 : 33
958,801–1000,Shahid Beheshti UniversityIran,18263,21.3,1%,52 : 48
959,801–1000,Shahid Beheshti University of Medical SciencesIran,12604,9.0,1%,62 : 38
960,801–1000,Shanghai UniversityChina,36382,13.4,6%,47 : 53
961,801–1000,Shantou UniversityChina,9981,11.0,1%,51 : 49
962,801–1000,University of SharjahUnited Arab Emirates,13957,23.1,63%,65 : 35
963,801–1000,Sheffield Hallam UniversityUnited Kingdom,24924,16.6,14%,55 : 45
964,801–1000,Shinshu UniversityJapan,10700,9.9,3%,32 : 68
965,801–1000,Shiraz UniversityIran,13861,20.7,0%,49 : 51
966,801–1000,Sidi Mohamed Ben Abdellah UniversityMorocco,94163,63.2,2%,40 : 60
967,801–1000,Sohag UniversityEgypt,48895,28.2,0%,58 : 42
968,801–1000,Southern Medical UniversityChina,18658,6.5,5%,59 : 41
969,801–1000,University of South WalesUnited Kingdom,16500,17.5,20%,52 : 48
970,801–1000,Sri Venkateswara UniversityIndia,7747,17.3,0%,40 : 60
971,801–1000,Staffordshire UniversityUnited KingdomExplore,9456,15.3,14%,50 : 50
972,801–1000,Sultan Qaboos UniversityOman,7624,8.9,3%,50 : 50
973,801–1000,Suranaree University of TechnologyThailand,15068,31.9,1%,54 : 46
974,801–1000,University of TalcaChile,10628,23.6,1%,52 : 48
975,801–1000,Tanta UniversityEgypt,138971,28.2,2%,56 : 44
976,801–1000,Teesside UniversityUnited Kingdom,11580,17.9,12%,56 : 44
977,801–1000,Universiti Tenaga Nasional (UNITEN)Malaysia,7893,17.7,7%,40 : 60
978,801–1000,Texas State UniversityUnited States,31120,19.7,1%,58 : 42
979,801–1000,Thapar Institute of Engineering and TechnologyIndiaExplore,7503,15.5,1%,28 : 72
980,801–1000,Toho UniversityJapan,5096,13.4,0%,50 : 50
981,801–1000,Tokushima UniversityJapan,7566,8.8,2%,35 : 65
982,801–1000,Tokyo University of Agriculture and TechnologyJapan,5795,14.9,6%,30 : 70
983,801–1000,Tokyo Medical UniversityJapan,1333,1.5,0%,50 : 50
984,801–1000,Tokyo University of ScienceJapanExplore,19162,24.8,2%,21 : 79
985,801–1000,Toyohashi University of Technology (TUT)Japan,2350,9.9,7%,9 : 91
986,801–1000,Tribhuvan UniversityNepal,359377,44.6,0%,44 : 56
987,801–1000,Tshwane University of TechnologySouth Africa,42846,32.3,2%,52 : 48
988,801–1000,Universiti Utara MalaysiaMalaysia,13171,12.1,23%,65 : 35
989,801–1000,Vilnius UniversityLithuania,16773,11.6,8%,65 : 35
990,801–1000,VIT UniversityIndia,30941,17.9,3%,27 : 73
991,801–1000,Warsaw University of TechnologyPoland,31672,13.4,5%,34 : 66
992,801–1000,Wuhan University of TechnologyChina,50924,14.0,3%,30 : 70
993,801–1000,Xiangtan UniversityChinaExplore,30928,21.2,1%,53 : 47
994,801–1000,Xidian UniversityChina,33258,17.4,2%,29 : 71
995,801–1000,Yamagata UniversityJapan,8955,8.6,1%,35 : 65
996,801–1000,University of YamanashiJapan,4725,6.4,4%,31 : 69
997,801–1000,Yangzhou UniversityChinaExplore,36362,16.0,3%,55 : 45
998,801–1000,Yokohama National UniversityJapan,9972,12.6,7%,29 : 71
999,801–1000,University of ZagrebCroatia,66967,18.7,1%,50 : 50
1000,1001+,University of Abou Bekr Belkaïd TlemcenAlgeria,44100,24.3,1%,72 : 28
1001,1001+,Ain Shams UniversityEgypt,171700,17.4,3%,52 : 48
1002,1001+,Akdeniz UniversityTurkey,50491,32.0,3%,55 : 45
1003,1001+,Akita UniversityJapan,5074,9.2,4%,35 : 65
1004,1001+,Al-Azhar UniversityEgypt,318158,41.9,5%,44 : 56
1005,1001+,Alexandru Ioan Cuza UniversityRomania,23255,19.1,6%,65 : 35
1006,1001+,Alzahra UniversityIran,10590,24.4,1%,100 : 0
1007,1001+,Amity UniversityIndia,27278,14.0,5%,43 : 57
1008,1001+,"University of the Andes, VenezuelaVenezuela",47565,19.0,0%,62 : 38
1009,1001+,Andhra UniversityIndia,9752,16.8,4%,51 : 49
1010,1001+,Universidad Andrés Bello (UNAB)Chile,44436,23.5,1%,52 : 48
1011,1001+,Ankara UniversityTurkey,69324,18.0,4%,52 : 48
1012,1001+,Annamalai UniversityIndia,27369,14.1,2%,42 : 58
1013,1001+,University of AntioquiaColombia,40505,23.3,0%,51 : 49
1014,1001+,Aoyama Gakuin UniversityJapan,19520,8.2,3%,47 : 53
1015,1001+,Assiut UniversityEgypt,79183,17.9,0%,45 : 55
1016,1001+,Universidad Autónoma del Estado de HidalgoMexico,33839,17.9,0%,56 : 44
1017,1001+,Universidad Autónoma del Estado de Mexico (UAEMex)Mexico,57087,23.2,0%,59 : 41
1018,1001+,Universidad Autónoma de Nuevo León (UANL)Mexico,102466,27.2,1%,
1019,1001+,Universidad Autónoma de YucatánMexico,16570,14.9,0%,49 : 51
1020,1001+,Autonomous University of Baja CaliforniaMexicoExplore,59812,20.4,2%,53 : 47
1021,1001+,Autonomous University of San Luis PotosiMexico,31102,9.3,1%,50 : 50
1022,1001+,Badji Mokhtar University – AnnabaAlgeria,40514,33.6,1%,52 : 48
1023,1001+,Bahauddin Zakariya UniversityPakistan,24532,30.2,0%,44 : 56
1024,1001+,Bahçeşehir UniversityTurkey,14159,34.2,12%,48 : 52
1025,1001+,Belarusian State UniversityBelarus,29230,9.2,8%,65 : 35
1026,1001+,Benemérita Universidad Autónoma de PueblaMexico,78390,35.2,0%,53 : 47
1027,1001+,University of Bío-BíoChile,12893,24.7,1%,42 : 58
1028,1001+,University of BirjandIran,11347,28.7,1%,56 : 44
1029,1001+,Birmingham City UniversityUnited Kingdom,19618,18.8,22%,62 : 38
1030,1001+,Bucharest University of Economic StudiesRomania,21447,11.8,3%,47 : 53
1031,1001+,Canterbury Christ Church UniversityUnited Kingdom,11728,18.7,12%,67 : 33
1032,1001+,Catholic University of the NorthChile,11669,20.5,2%,45 : 55
1033,1001+,Ceará State UniversityBrazil,17934,16.3,0%,56 : 44
1034,1001+,Chaoyang University of TechnologyTaiwan,17017,43.3,8%,56 : 44
1035,1001+,University of ChesterUnited Kingdom,10303,17.5,10%,66 : 34
1036,1001+,Chiba Institute of TechnologyJapan,9774,30.7,1%,12 : 88
1037,1001+,Chubu UniversityJapan,12661,24.8,1%,26 : 74
1038,1001+,Chungnam National UniversitySouth Korea,22773,21.7,4%,44 : 56
1039,1001+,Chuo UniversityJapan,26698,37.9,4%,35 : 65
1040,1001+,Cochin University of Science and TechnologyIndia,8147,19.2,0%,36 : 64
1041,1001+,University of ColomboSri Lanka,29464,29.5,0%,56 : 44
1042,1001+,University of ConcepciónChile,27077,17.5,1%,51 : 49
1043,1001+,Corvinus University of BudapestHungary,10404,24.7,14%,54 : 46
1044,1001+,Cukurova UniversityTurkey,41446,18.7,4%,45 : 55
1045,1001+,University of Dar es SalaamTanzania,25282,15.2,0%,33 : 67
1046,1001+,Del Rosario UniversityColombia,9568,12.5,1%,
1047,1001+,Democritus University of ThraceGreece,29386,46.9,3%,54 : 46
1048,1001+,Dokuz Eylül UniversityTurkey,63639,19.2,2%,47 : 53
1049,1001+,Doshisha UniversityJapan,28311,18.9,4%,40 : 60
1050,1001+,Prague University of Economics and BusinessCzech Republic,14945,29.2,22%,54 : 46
1051,1001+,Ehime UniversityJapan,9419,12.8,3%,37 : 63
1052,1001+,The University of Electro-CommunicationsJapan,4806,15.7,6%,11 : 89
1053,1001+,University of Engineering & Technology (UET) LahorePakistan,12467,13.9,2%,23 : 77
1054,1001+,Universidade do Estado do Rio de Janeiro (UERJ)Brazil,22918,8.7,0%,57 : 43
1055,1001+,Universidade Estadual de MaringáBrazil,20522,11.4,1%,55 : 45
1056,1001+,Universidade Estadual do Oeste do Paraná (Unioeste)Brazil,10919,4.1,0%,59 : 41
1057,1001+,Far Eastern Federal UniversityRussian Federation,15480,9.4,15%,
1058,1001+,Universidade Federal do Ceará (UFC)Brazil,31719,14.6,1%,47 : 53
1059,1001+,Federal University of GoiásBrazil,29558,13.3,0%,44 : 56
1060,1001+,Federal University of ItajubáBrazil,8997,18.2,1%,29 : 71
1061,1001+,Federal University of LavrasBrazil,15389,22.1,1%,52 : 48
1062,1001+,Federal University of ParáBrazil,49435,20.7,0%,56 : 44
1063,1001+,Universidade Federal do Paraná (UFPR)Brazil,32952,12.8,0%,51 : 49
1064,1001+,Federal University of PernambucoBrazil,38264,14.7,1%,50 : 50
1065,1001+,Federal University of Rio Grande do Norte (UFRN)Brazil,39365,16.3,0%,56 : 44
1066,1001+,Federal University of Santa MariaBrazil,26334,13.8,0%,56 : 44
1067,1001+,Federal University of UberlândiaBrazil,20461,11.5,%,
1068,1001+,Federal University of ViçosaBrazil,17340,14.6,2%,51 : 49
1069,1001+,Feng Chia UniversityTaiwan,19811,23.3,15%,37 : 63
1070,1001+,Fluminense Federal UniversityBrazil,68410,19.0,0%,49 : 51
1071,1001+,Université Frères Mentouri Constantine 1Algeria,33735,19.4,0%,55 : 45
1072,1001+,University of FukuiJapan,4999,9.2,4%,29 : 71
1073,1001+,Universitas Gadjah MadaIndonesia,41201,10.5,1%,54 : 46
1074,1001+,Gazi UniversityTurkey,79733,31.5,3%,49 : 51
1075,1001+,"G.B. Pant University of Agriculture & Technology, PantnagarIndia",4389,7.5,0%,43 : 57
1076,1001+,University of GdańskPoland,29683,17.6,2%,61 : 39
1077,1001+,Gdańsk University of TechnologyPoland,23017,18.7,2%,40 : 60
1078,1001+,Gifu UniversityJapan,7161,7.9,4%,35 : 65
1079,1001+,GITAM UniversityIndia,16223,14.7,2%,32 : 68
1080,1001+,Government College University LahorePakistan,8841,33.5,1%,43 : 57
1081,1001+,Grigore T. Popa University of Medicine and PharmacyRomania,9602,11.4,29%,66 : 34
1082,1001+,University of GuadalajaraMexicoExplore,120298,52.4,0%,52 : 48
1083,1001+,University of GuanajuatoMexico,24798,16.6,1%,52 : 48
1084,1001+,Guangxi UniversityChina,34199,15.8,5%,46 : 54
1085,1001+,Gunma UniversityJapan,6362,7.3,3%,37 : 63
1086,1001+,Hallym UniversitySouth Korea,8372,9.8,4%,
1087,1001+,Harbin Engineering UniversityChina,24124,14.1,2%,26 : 74
1088,1001+,The Hashemite UniversityJordanExplore,16879,16.8,4%,58 : 42
1089,1001+,Université Hassan II de CasablancaMorocco,100095,30.7,2%,53 : 47
1090,1001+,Helwan UniversityEgypt,154964,36.0,1%,58 : 42
1091,1001+,Hosei UniversityJapan,30364,41.0,2%,36 : 64
1092,1001+,Huaqiao UniversityChina,29637,17.8,11%,49 : 51
1093,1001+,University of HyogoJapan,6607,14.0,2%,39 : 61
1094,1001+,Ibaraki UniversityJapan,8153,12.0,3%,35 : 65
1095,1001+,Imam Abdulrahman Bin Faisal UniversitySaudi ArabiaExplore,28627,10.6,3%,78 : 22
1096,1001+,Incheon National UniversitySouth Korea,13807,23.0,2%,44 : 56
1097,1001+,Instituto Politécnico Nacional (IPN)Mexico,178492,10.5,0%,38 : 62
1098,1001+,IPB UniversityIndonesia,23044,13.1,1%,58 : 42
1099,1001+,I-Shou UniversityTaiwan,16425,31.1,9%,47 : 53
1100,1001+,Ivane Javakhishvili Tbilisi State UniversityGeorgiaExplore,20225,24.8,2%,62 : 38
1101,1001+,Ivan Franko National University of LvivUkraine,18210,9.6,1%,75 : 25
1102,1001+,Iwate UniversityJapan,5626,14.7,3%,37 : 63
1103,1001+,Izmir Institute of TechnologyTurkey,5035,22.7,3%,46 : 54
1104,1001+,Kagoshima UniversityJapan,10498,10.2,3%,38 : 62
1105,1001+,Kanagawa UniversityJapan,18541,13.8,3%,28 : 72
1106,1001+,Kansai UniversityJapan,30401,12.0,3%,39 : 61
1107,1001+,Kasetsart UniversityThailand,68213,22.9,1%,62 : 38
1108,1001+,Kaunas University of TechnologyLithuania,10146,14.0,5%,38 : 62
1109,1001+,Kazan National Research Technological UniversityRussian Federation,15631,10.6,10%,47 : 53
1110,1001+,University of KeralaIndia,8210,19.3,0%,56 : 44
1111,1001+,Kharazmi UniversityIran,13129,20.7,1%,57 : 43
