,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
752,601–800,Universiti Putra MalaysiaMalaysia,25929,12.9,18%,44 : 56
753,601–800,University of ReginaCanada,12178,22.2,15%,60 : 40
754,601–800,University Rey Juan CarlosSpain,33849,26.5,11%,57 : 43
755,601–800,Rochester Institute of TechnologyUnited States,13784,16.2,17%,35 : 65
756,601–800,University of RoehamptonUnited Kingdom,7169,17.6,28%,73 : 27
757,601–800,Universiti Sains MalaysiaMalaysia,25975,12.9,8%,63 : 37
758,601–800,University of SalamancaSpain,30943,18.5,14%,58 : 42
759,601–800,University of SalfordUnited Kingdom,15790,16.6,26%,52 : 48
760,601–800,Samara State Aerospace UniversityRussian Federation,6314,9.0,6%,
761,601–800,University of Santiago de CompostelaSpain,27573,15.9,8%,62 : 38
762,601–800,Savitribai Phule Pune UniversityIndia,6155,15.9,3%,41 : 59
763,601–800,University of Science and Technology BeijingChina,24384,15.8,3%,36 : 64
764,601–800,University of SeoulSouth Korea,8902,17.0,5%,35 : 65
765,601–800,University of SevilleSpain,54413,18.5,2%,49 : 51
766,601–800,Shanghai UniversityChina,36461,13.5,5%,46 : 54
767,601–800,Shantou UniversityChina,9857,12.0,0%,50 : 50
768,601–800,Sharif University of TechnologyIran,11228,17.9,0%,26 : 74
769,601–800,Sichuan UniversityChinaExplore,60848,13.9,4%,50 : 50
770,601–800,Sogang UniversitySouth Korea,9440,21.5,7%,43 : 57
771,601–800,University of Southern QueenslandAustralia,11921,25.9,19%,57 : 43
772,601–800,University of South WalesUnited Kingdom,17332,17.0,19%,51 : 49
773,601–800,Suranaree University of TechnologyThailand,14107,32.6,1%,54 : 46
774,601–800,University of SzegedHungary,20864,13.1,12%,57 : 43
775,601–800,University of TabrizIran,22421,30.2,0%,51 : 49
776,601–800,Taipei Medical UniversityTaiwanExplore,5929,12.1,7%,57 : 43
777,601–800,Tallinn University of TechnologyEstonia,10921,21.2,10%,52 : 48
778,601–800,Technical University of MadridSpain,40371,13.6,12%,32 : 68
779,601–800,University of Technology of CompiègneFrance,4321,15.4,24%,36 : 64
780,601–800,Teesside UniversityUnited Kingdom,11095,18.1,12%,56 : 44
781,601–800,University of TehranIran,59457,29.4,2%,43 : 57
782,601–800,Tehran University of Medical SciencesIran,12668,7.6,3%,60 : 40
783,601–800,Universiti Teknologi MalaysiaMalaysia,18214,10.5,14%,52 : 48
784,601–800,Universiti Teknologi PetronasMalaysia,5875,15.3,22%,34 : 66
785,601–800,University of Texas at El PasoUnited States,16595,23.8,7%,53 : 47
786,601–800,Tezpur UniversityIndia,3611,13.8,0%,40 : 60
787,601–800,Tokyo University of Agriculture and TechnologyJapan,5797,14.8,6%,28 : 72
788,601–800,Tokyo University of ScienceJapanExplore,19791,25.1,1%,20 : 80
789,601–800,University of VigoSpain,19472,16.6,6%,50 : 50
790,601–800,Vilnius UniversityLithuania,17364,12.3,6%,61 : 39
791,601–800,Warsaw University of TechnologyPoland,31101,13.0,5%,37 : 63
792,601–800,Waseda UniversityJapan,49840,15.8,8%,36 : 64
793,601–800,University of the West of EnglandUnited Kingdom,20468,18.3,19%,53 : 47
794,601–800,University of the Western CapeSouth Africa,20382,31.6,9%,60 : 40
795,601–800,University of WestminsterUnited Kingdom,17040,20.1,46%,59 : 41
796,601–800,University of WindsorCanada,15227,19.1,17%,52 : 48
797,601–800,Yeungnam UniversitySouth Korea,20532,14.7,4%,49 : 51
798,601–800,Yokohama City UniversityJapan,4889,3.5,2%,55 : 45
799,601–800,University of ZaragozaSpain,29924,11.2,6%,55 : 45
800,801–1000,University of Abou Bekr Belkaïd TlemcenAlgeria,42407,23.8,1%,67 : 33
801,801–1000,University of A CoruñaSpain,15735,11.9,2%,51 : 49
802,801–1000,"Adam Mickiewicz University, PoznańPoland",40412,14.9,2%,69 : 31
803,801–1000,"University of Agriculture, FaisalabadPakistan",19736,32.9,0%,41 : 59
804,801–1000,Ain Shams UniversityEgypt,131200,13.5,2%,61 : 39
805,801–1000,Ajou UniversitySouth Korea,11629,10.2,4%,34 : 66
806,801–1000,Akdeniz UniversityTurkey,33904,26.3,2%,45 : 55
807,801–1000,Alexandria UniversityEgypt,166350,26.9,4%,53 : 47
808,801–1000,Alexandru Ioan Cuza UniversityRomania,23476,17.7,6%,63 : 37
809,801–1000,University of AlicanteSpain,28005,19.5,7%,57 : 43
810,801–1000,University of AlmeríaSpain,12315,18.4,7%,57 : 43
811,801–1000,Amrita Vishwa VidyapeethamIndia,14233,11.9,13%,
812,801–1000,Andhra UniversityIndia,9632,19.2,3%,42 : 58
813,801–1000,Universidad Andrés Bello (UNAB)Chile,44906,26.1,1%,52 : 48
814,801–1000,Annamalai UniversityIndia,33028,16.2,2%,35 : 65
815,801–1000,University of AntioquiaColombia,39524,23.1,0%,50 : 50
816,801–1000,"Asia University, TaiwanTaiwan",12514,30.7,2%,56 : 44
817,801–1000,Assiut UniversityEgypt,60170,33.0,1%,41 : 59
818,801–1000,Austral University of ChileChile,14423,16.7,2%,49 : 51
819,801–1000,Bandung Institute of Technology (ITB)Indonesia,16786,11.5,2%,40 : 60
820,801–1000,Bauman Moscow State Technical UniversityRussian Federation,19394,4.0,7%,30 : 70
821,801–1000,Beijing Jiaotong UniversityChina,24610,13.7,6%,41 : 59
822,801–1000,Belarusian State UniversityBelarus,27384,9.1,9%,69 : 31
823,801–1000,"Birla Institute of Technology and Science, PilaniIndia",12502,17.5,0%,21 : 79
824,801–1000,University of BrasíliaBrazil,51179,19.3,2%,51 : 49
825,801–1000,Brno University of TechnologyCzech Republic,22278,21.4,19%,28 : 72
826,801–1000,University of BucharestRomania,31234,23.4,2%,69 : 31
827,801–1000,Budapest University of Technology and EconomicsHungary,20258,19.6,3%,31 : 69
828,801–1000,Cairo UniversityEgypt,252095,46.2,2%,48 : 52
829,801–1000,University of CalcuttaIndiaExplore,18922,36.0,0%,50 : 50
830,801–1000,"California Polytechnic State University, San Luis ObispoUnited States",18838,20.5,2%,47 : 53
831,801–1000,University of Castilla-La ManchaSpain,24174,14.3,5%,56 : 44
832,801–1000,Catholic University of the NorthChile,11187,20.2,1%,45 : 55
833,801–1000,Central University of VenezuelaVenezuela,48426,14.7,1%,57 : 43
834,801–1000,University of Cergy-PontoiseFrance,18125,9.4,15%,64 : 36
835,801–1000,Chiang Mai UniversityThailand,35809,16.9,1%,62 : 38
836,801–1000,China University of Mining and TechnologyChina,43095,18.1,1%,28 : 72
837,801–1000,"China University of Petroleum, BeijingChina",15133,18.8,5%,
838,801–1000,Chongqing UniversityChinaExplore,49391,17.6,3%,
839,801–1000,Chungnam National UniversitySouth Korea,22674,22.2,3%,34 : 66
840,801–1000,Chung Yuan Christian UniversityTaiwan,15769,31.7,9%,42 : 58
841,801–1000,Chuo UniversityJapan,26870,37.6,3%,34 : 66
842,801–1000,Cochin University of Science and TechnologyIndia,8168,32.0,0%,36 : 64
843,801–1000,University of ColomboSri Lanka,22826,32.1,0%,59 : 41
844,801–1000,University of ConcepciónChile,26682,17.9,1%,50 : 50
845,801–1000,Corvinus University of BudapestHungary,13724,25.0,12%,55 : 45
846,801–1000,University of Costa RicaCosta Rica,30436,10.3,2%,53 : 47
847,801–1000,Czech University of Life Sciences Prague (CZU)Czech Republic,17077,20.6,18%,54 : 46
848,801–1000,University of DebrecenHungaryExplore,27519,18.2,14%,57 : 43
849,801–1000,Del Rosario UniversityColombia,8458,11.3,3%,
850,801–1000,University of DerbyUnited Kingdom,12217,15.0,14%,55 : 45
851,801–1000,Ehime UniversityJapan,9526,12.8,3%,37 : 63
852,801–1000,The University of Electro-CommunicationsJapan,4982,16.6,5%,10 : 90
853,801–1000,University of Electronic Science and Technology of ChinaChinaExplore,34052,16.2,1%,23 : 77
854,801–1000,Erciyes UniversityTurkey,35263,25.3,2%,47 : 53
855,801–1000,Universidade do Estado do Rio de Janeiro (UERJ)Brazil,25811,9.9,0%,48 : 52
856,801–1000,Universidade Federal do Ceará (UFC)Brazil,34084,16.3,0%,47 : 53
857,801–1000,Federal University of PelotasBrazil,17882,13.7,1%,51 : 49
858,801–1000,Federal University of PernambucoBrazil,32408,12.7,1%,50 : 50
859,801–1000,Federal University of Rio Grande do Norte (UFRN)Brazil,42613,19.3,0%,54 : 46
860,801–1000,Universidade Federal de Santa CatarinaBrazil,34183,14.2,2%,48 : 52
861,801–1000,Federal University of São CarlosBrazil,18145,14.5,2%,49 : 51
862,801–1000,Feng Chia UniversityTaiwan,21014,24.8,12%,37 : 63
863,801–1000,Ferdowsi University of MashhadIran,23211,28.4,4%,57 : 43
864,801–1000,University of La FronteraChile,10157,24.7,0%,44 : 56
865,801–1000,Fu Jen Catholic UniversityTaiwan,23154,19.3,7%,58 : 42
866,801–1000,Universitas Gadjah MadaIndonesia,42398,12.4,1%,53 : 47
867,801–1000,Gdańsk University of TechnologyPoland,24230,19.9,1%,40 : 60
868,801–1000,University of GhanaGhana,39436,35.1,2%,43 : 57
869,801–1000,Gifu UniversityJapan,7320,8.0,4%,35 : 65
870,801–1000,Grigore T. Popa University of Medicine and PharmacyRomania,9710,11.7,29%,65 : 35
871,801–1000,University of GuilanIran,16946,15.1,0%,55 : 45
872,801–1000,Hallym UniversitySouth Korea,8688,10.1,3%,
873,801–1000,Hamamatsu University School of MedicineJapan,1198,3.8,2%,49 : 51
874,801–1000,Hosei UniversityJapan,28937,38.5,2%,35 : 65
875,801–1000,Huaqiao UniversityChina,23442,14.9,15%,38 : 62
876,801–1000,University of IbadanNigeria,26783,16.5,1%,47 : 53
877,801–1000,Imam Abdulrahman Bin Faisal UniversitySaudi ArabiaExplore,22257,8.8,4%,81 : 19
878,801–1000,University of IndonesiaIndonesiaExplore,42854,13.7,5%,59 : 41
879,801–1000,University of IsfahanIran,12473,19.4,1%,59 : 41
880,801–1000,I-Shou UniversityTaiwan,16705,31.3,11%,46 : 54
881,801–1000,Istanbul UniversityTurkey,96144,45.9,6%,48 : 52
882,801–1000,Iwate UniversityJapan,5713,14.6,2%,37 : 63
883,801–1000,Izmir Institute of TechnologyTurkey,4211,18.6,4%,46 : 54
884,801–1000,Jamia Millia IslamiaIndia,16710,23.3,1%,33 : 67
885,801–1000,Jiangsu UniversityChina,32350,7.0,4%,47 : 53
886,801–1000,The Jikei University School of MedicineJapan,1020,0.6,4%,45 : 55
887,801–1000,Jinan UniversityChinaExplore,34016,14.8,25%,60 : 40
888,801–1000,The University of JordanJordan,31278,16.0,14%,65 : 35
889,801–1000,Kagoshima UniversityJapan,10577,10.2,3%,38 : 62
890,801–1000,Kansai Medical UniversityJapan,829,1.1,2%,38 : 62
891,801–1000,Kasetsart UniversityThailand,68505,23.1,1%,61 : 39
892,801–1000,University of KeralaIndia,9593,31.3,1%,65 : 35
893,801–1000,Khon Kaen UniversityThailand,34661,18.8,2%,63 : 37
894,801–1000,Kindai UniversityJapan,30609,13.0,2%,29 : 71
895,801–1000,King Mongkut’s Institute of Technology LadkrabangThailand,23946,25.0,0%,52 : 48
896,801–1000,Kitasato UniversityJapan,8555,5.5,0%,52 : 48
897,801–1000,Kyoto Institute of TechnologyJapan,4057,13.0,5%,26 : 74
898,801–1000,Kyushu Institute of Technology (Kyutech)Japan,5793,16.0,4%,13 : 87
899,801–1000,University of LatviaLatvia,12034,14.0,7%,66 : 34
900,801–1000,Lobachevsky State University of Nizhni NovgorodRussian Federation,18557,8.5,6%,53 : 47
901,801–1000,London South Bank UniversityUnited Kingdom,12270,17.3,35%,55 : 45
902,801–1000,Mansoura UniversityEgypt,109714,26.5,4%,54 : 46
903,801–1000,Marmara UniversityTurkey,78666,39.5,3%,49 : 51
904,801–1000,University of Marrakech Cadi AyyadMorocco,76560,51.7,1%,42 : 58
905,801–1000,Meiji UniversityJapan,32270,29.1,4%,32 : 68
906,801–1000,Metropolitan Autonomous UniversityMexico,57092,20.1,0%,47 : 53
907,801–1000,Mie UniversityJapan,7298,12.6,2%,37 : 63
908,801–1000,University of MiyazakiJapan,5507,8.3,2%,35 : 65
909,801–1000,Mohammed V University of RabatMorocco,71147,32.5,4%,53 : 47
910,801–1000,Nagaoka University of TechnologyJapan,2341,10.0,12%,11 : 89
911,801–1000,Nagasaki UniversityJapan,8881,6.6,3%,37 : 63
912,801–1000,Nagoya Institute of TechnologyJapan,5695,16.5,4%,13 : 87
913,801–1000,University of NairobiKenya,84614,47.3,0%,38 : 62
914,801–1000,Nara Medical UniversityJapan,1155,3.3,1%,50 : 50
915,801–1000,National Chung Cheng UniversityTaiwanExplore,10925,16.9,4%,39 : 61
916,801–1000,National University of ColombiaColombia,51432,22.5,1%,36 : 64
917,801–1000,National University of CórdobaArgentina,87926,22.3,1%,62 : 38
918,801–1000,National Dong Hwa UniversityTaiwanExplore,10174,17.5,7%,49 : 51
919,801–1000,National Research Saratov State UniversityRussian Federation,10544,11.8,4%,60 : 40
920,801–1000,National University of TainanTaiwan,5996,25.4,3%,56 : 44
921,801–1000,National Taipei UniversityTaiwan,8563,17.1,4%,55 : 45
922,801–1000,National Taipei University of TechnologyTaiwanExplore,10288,16.7,5%,27 : 73
923,801–1000,National Taiwan Ocean UniversityTaiwan,8609,21.7,7%,
924,801–1000,Nicolaus Copernicus University in ToruńPoland,21497,9.9,2%,70 : 30
925,801–1000,Niigata UniversityJapanExplore,12522,8.1,4%,38 : 62
926,801–1000,"Northeastern University, ChinaChina",33348,15.1,4%,
927,801–1000,Northwest UniversityChina,22167,15.0,2%,56 : 44
928,801–1000,NorthWest A&F UniversityChina,30722,16.7,1%,
929,801–1000,Novosibirsk State Technical UniversityRussian Federation,11126,10.7,16%,45 : 55
930,801–1000,Oakland UniversityUnited States,15401,19.0,3%,59 : 41
931,801–1000,Ocean University of ChinaChina,35410,19.4,1%,
932,801–1000,Osaka Prefecture UniversityJapan,7931,7.4,3%,35 : 65
933,801–1000,Osmania UniversityIndia,12017,15.5,3%,29 : 71
934,801–1000,University of OstravaCzech Republic,10062,21.5,7%,69 : 31
935,801–1000,University of PardubiceCzech Republic,8487,15.7,3%,55 : 45
936,801–1000,Paris Nanterre UniversityFrance,33635,35.7,16%,63 : 37
937,801–1000,Pondicherry UniversityIndia,6278,17.3,1%,42 : 58
938,801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS)Brazil,20944,23.6,1%,51 : 49
939,801–1000,Pontifical Catholic University of ValparaísoChile,14953,23.1,1%,43 : 57
940,801–1000,Pontifícia Universidade Católica do ParanáBrazil,26022,23.3,1%,53 : 47
941,801–1000,Prince of Songkla UniversityThailand,42751,18.3,1%,70 : 30
942,801–1000,Riga Technical UniversityLatvia,11119,27.3,9%,33 : 67
943,801–1000,Ritsumeikan UniversityJapan,35228,14.5,4%,35 : 65
944,801–1000,Robert Gordon UniversityUnited Kingdom,9617,18.3,24%,60 : 40
945,801–1000,Saga UniversityJapan,7015,10.3,3%,38 : 62
946,801–1000,Saitama UniversityJapan,8808,13.9,5%,32 : 68
947,801–1000,Saitama Medical UniversityJapan,1874,1.5,0%,53 : 47
948,801–1000,"University of Santiago, Chile (USACH)Chile",23401,21.0,1%,40 : 60
949,801–1000,Seoul National University of Science and Technology (SeoulTech)South Korea,12471,16.6,2%,33 : 67
950,801–1000,Shaanxi Normal UniversityChina,26388,14.2,3%,72 : 28
951,801–1000,Shahid Beheshti UniversityIran,17113,22.6,1%,52 : 48
952,801–1000,University of SharjahUnited Arab Emirates,13300,23.6,61%,65 : 35
953,801–1000,Sheffield Hallam UniversityUnited Kingdom,24627,16.3,14%,54 : 46
954,801–1000,Shiga University of Medical ScienceJapan,1134,3.0,2%,51 : 49
955,801–1000,Shimane UniversityJapan,6122,8.0,2%,37 : 63
956,801–1000,Shinshu UniversityJapan,10944,10.3,2%,32 : 68
957,801–1000,Shiraz UniversityIran,12879,19.3,1%,49 : 51
958,801–1000,Shizuoka UniversityJapan,10032,14.1,3%,29 : 71
959,801–1000,Showa UniversityJapan,3747,2.4,1%,58 : 42
960,801–1000,University of Silesia in KatowicePoland,26470,14.1,2%,68 : 32
961,801–1000,Simón Bolívar UniversityVenezuela,9731,12.1,0%,44 : 56
962,801–1000,Slovak University of Technology in BratislavaSlovakia,15749,14.8,2%,33 : 67
963,801–1000,Sophia UniversityJapanExplore,12907,23.6,8%,54 : 46
964,801–1000,University of South AfricaSouth Africa,184432,89.6,12%,66 : 34
965,801–1000,Southern Federal UniversityRussian Federation,20148,7.4,7%,53 : 47
966,801–1000,University of Southern MississippiUnited States,13576,18.2,3%,64 : 36
967,801–1000,South Valley UniversityEgypt,52098,60.8,1%,50 : 50
968,801–1000,Sri Venkateswara UniversityIndia,7663,14.1,0%,33 : 67
969,801–1000,State University of Ponta GrossaBrazil,8219,8.6,1%,55 : 45
970,801–1000,Suez Canal UniversityEgypt,33846,12.7,1%,58 : 42
971,801–1000,Sultan Qaboos UniversityOman,7623,8.0,3%,50 : 50
972,801–1000,University of TalcaChile,10532,24.6,1%,51 : 49
973,801–1000,Taras Shevchenko National University of KyivUkraine,22152,8.7,4%,62 : 38
974,801–1000,Technical University of KošiceSlovakia,9714,12.3,3%,30 : 70
975,801–1000,Universiti Tenaga Nasional (UNITEN)Malaysia,8231,22.1,7%,41 : 59
976,801–1000,Texas State UniversityUnited States,30054,20.4,1%,57 : 43
977,801–1000,Thapar Institute of Engineering and TechnologyIndiaExplore,5576,14.3,1%,29 : 71
978,801–1000,TOBB University of Economics and TechnologyTurkey,5053,16.0,1%,45 : 55
979,801–1000,Tokai UniversityJapan,30061,12.8,2%,27 : 73
980,801–1000,Tokushima UniversityJapan,7543,8.6,3%,34 : 66
981,801–1000,Tokyo University of Marine Science and TechnologyJapan,2660,11.1,7%,33 : 67
982,801–1000,Tomas Bata University in ZlínCzech Republic,9263,21.2,9%,59 : 41
983,801–1000,University of ToyamaJapan,9326,11.4,4%,39 : 61
984,801–1000,Toyohashi University of Technology (TUT)Japan,2350,9.9,7%,9 : 91
985,801–1000,University of ValparaísoChile,15654,17.4,3%,57 : 43
986,801–1000,VIT UniversityIndia,30473,18.1,3%,25 : 75
987,801–1000,VSB - Technical University of OstravaCzech RepublicExplore,18270,23.4,8%,
988,801–1000,University of West BohemiaCzech Republic,12991,18.7,3%,51 : 49
989,801–1000,West University of TimişoaraRomania,13524,17.0,4%,65 : 35
990,801–1000,University of WrocławPoland,23852,12.9,3%,
991,801–1000,Wuhan University of TechnologyChina,50876,14.6,3%,31 : 69
992,801–1000,Xiangtan UniversityChinaExplore,30810,21.2,1%,53 : 47
993,801–1000,Xidian UniversityChina,32722,16.6,2%,29 : 71
994,801–1000,Yamagata UniversityJapan,8961,8.2,1%,35 : 65
995,801–1000,Yamaguchi UniversityJapan,10639,11.0,4%,35 : 65
996,801–1000,University of YamanashiJapan,4777,6.7,4%,30 : 70
997,801–1000,Yıldız Technical UniversityTurkeyExplore,35670,28.5,4%,38 : 62
998,801–1000,Yokohama National UniversityJapan,9968,12.8,7%,28 : 72
999,801–1000,Yuan Ze UniversityTaiwan,8652,20.9,6%,42 : 58
1000,801–1000,University of ZagrebCroatia,73465,17.4,1%,55 : 45
1001,1001+,Akita UniversityJapan,5127,8.8,3%,35 : 65
1002,1001+,Alzahra UniversityIran,10637,31.2,0%,100 : 0
1003,1001+,Amity UniversityIndia,25607,15.0,4%,43 : 57
1004,1001+,Anadolu UniversityTurkey,1824383,864.6,1%,41 : 59
1005,1001+,"University of the Andes, VenezuelaVenezuela",52972,21.2,0%,61 : 39
1006,1001+,Ankara UniversityTurkey,65703,17.0,4%,53 : 47
1007,1001+,Universidad Autónoma del Estado de HidalgoMexico,32210,17.7,0%,57 : 43
1008,1001+,Universidad Autónoma del Estado de Mexico (UAEMex)Mexico,55667,22.2,0%,55 : 45
1009,1001+,Universidad Autónoma de Nuevo León (UANL)Mexico,96916,26.0,1%,
1010,1001+,Universidad Autónoma de YucatánMexico,12208,12.4,0%,48 : 52
1011,1001+,Autonomous University of Baja CaliforniaMexicoExplore,59539,20.4,2%,52 : 48
1012,1001+,Bahauddin Zakariya UniversityPakistan,24069,32.9,0%,47 : 53
1013,1001+,Benemérita Universidad Autónoma de PueblaMexico,70345,34.9,0%,53 : 47
1014,1001+,University of BirjandIran,11284,33.5,1%,53 : 47
1015,1001+,Chaoyang University of TechnologyTaiwan,17235,43.3,7%,57 : 43
1016,1001+,Chiba Institute of TechnologyJapan,9668,31.0,1%,11 : 89
1017,1001+,University of DhakaBangladesh,63010,6.8,5%,39 : 61
1018,1001+,Dokuz Eylül UniversityTurkey,58134,17.6,2%,55 : 45
1019,1001+,Doshisha UniversityJapan,29220,23.8,3%,39 : 61
1020,1001+,Universidade Estadual de MaringáBrazil,23341,14.1,1%,59 : 41
1021,1001+,Universidade Estadual do Oeste do Paraná (Unioeste)Brazil,10791,5.0,0%,53 : 47
1022,1001+,Far Eastern Federal UniversityRussian Federation,15764,8.3,14%,
1023,1001+,Federal University of GoiásBrazil,27514,10.2,0%,45 : 55
1024,1001+,Federal University of LavrasBrazil,12168,17.6,1%,52 : 48
1025,1001+,Universidade Federal de Ouro Preto (UFOP)Brazil,15380,15.7,0%,52 : 48
1026,1001+,Universidade Federal do Paraná (UFPR)Brazil,33820,13.6,1%,47 : 53
1027,1001+,Federal University of Santa MariaBrazil,25751,13.5,0%,
1028,1001+,Federal University of ViçosaBrazil,16752,13.8,3%,52 : 48
1029,1001+,Fluminense Federal UniversityBrazil,61662,18.1,0%,49 : 51
1030,1001+,University of FukuiJapan,4980,9.1,4%,28 : 72
1031,1001+,Gazi UniversityTurkey,78021,28.2,3%,49 : 51
1032,1001+,"G.B. Pant University of Agriculture & Technology, PantnagarIndia",4567,8.2,0%,46 : 54
1033,1001+,University of GdańskPoland,28397,17.4,1%,69 : 31
1034,1001+,GITAM UniversityIndia,14822,16.3,1%,27 : 73
1035,1001+,Government College University LahorePakistan,8526,19.3,1%,43 : 57
1036,1001+,University of GuadalajaraMexicoExplore,118665,54.0,0%,51 : 49
1037,1001+,Guangxi UniversityChina,33970,15.8,5%,46 : 54
1038,1001+,The Hashemite UniversityJordanExplore,24958,25.7,4%,62 : 38
1039,1001+,University of HyogoJapan,6682,14.1,2%,38 : 62
1040,1001+,Ibaraki UniversityJapan,8113,14.0,3%,35 : 65
1041,1001+,Instituto Politécnico Nacional (IPN)Mexico,173868,10.3,0%,39 : 61
1042,1001+,IPB UniversityIndonesia,22718,15.8,1%,57 : 43
1043,1001+,Ivane Javakhishvili Tbilisi State UniversityGeorgiaExplore,21866,28.5,2%,62 : 38
1044,1001+,Ivan Franko National University of LvivUkraine,18632,11.3,1%,68 : 32
1045,1001+,Jawaharlal Nehru Technological University Anantapur (JNTUA)India,4621,13.6,0%,39 : 61
1046,1001+,Kanagawa UniversityJapan,18467,39.4,3%,28 : 72
1047,1001+,Kansai UniversityJapan,30211,11.5,2%,39 : 61
1048,1001+,Kaunas University of TechnologyLithuania,10439,13.8,6%,39 : 61
1049,1001+,King Mongkut's University of Technology North BangkokThailand,25640,24.4,0%,38 : 62
1050,1001+,Kogakuin UniversityJapan,6506,20.5,1%,13 : 87
1051,1001+,Kwansei Gakuin UniversityJapan,24410,15.2,4%,47 : 53
1052,1001+,University of LahorePakistan,27872,16.2,2%,29 : 71
1053,1001+,University of ŁódźPoland,35088,15.9,3%,66 : 34
1054,1001+,Lodz University of TechnologyPoland,19984,15.2,2%,
1055,1001+,Londrina State UniversityBrazil,16461,9.8,0%,57 : 43
1056,1001+,Lviv Polytechnic National UniversityUkraine,28691,12.2,1%,
1057,1001+,Maharaja Sayajirao University of BarodaIndia,29624,29.1,0%,56 : 44
1058,1001+,Manipal Academy of Higher EducationIndia,24705,9.8,9%,43 : 57
1059,1001+,Meijo UniversityJapan,15485,31.9,2%,27 : 73
1060,1001+,Ming Chuan UniversityTaiwan,18843,22.2,11%,60 : 40
1061,1001+,University of MonastirTunisia,23637,12.4,1%,67 : 33
1062,1001+,University of MysoreIndia,8535,20.1,9%,34 : 66
1063,1001+,National Chiayi UniversityTaiwan,12750,26.6,4%,48 : 52
1064,1001+,National University of KaohsiungTaiwan,5416,23.3,3%,40 : 60
1065,1001+,National Research University of Electronic Technology (MIET)Russian Federation,4318,10.8,2%,31 : 69
1066,1001+,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic InstituteUkraine,21601,8.3,1%,32 : 68
1067,1001+,Oita UniversityJapan,5793,7.2,2%,37 : 63
1068,1001+,Ondokuz Mayis UniversityTurkey,42911,18.8,4%,56 : 44
1069,1001+,Perm State UniversityRussian Federation,12371,13.1,1%,63 : 37
1070,1001+,University of PeshawarPakistan,7900,14.9,1%,42 : 58
1071,1001+,PMAS Arid Agriculture University RawalpindiPakistan,9957,40.5,0%,39 : 61
1072,1001+,PSG College of TechnologyIndia,8490,14.7,0%,38 : 62
1073,1001+,RUDN UniversityRussian Federation,16215,9.4,32%,67 : 33
1074,1001+,SASTRA UniversityIndia,13147,18.9,0%,50 : 50
1075,1001+,Sathyabama Institute of Science and TechnologyIndiaExplore,17861,22.1,1%,51 : 49
1076,1001+,Sechenov UniversityRussian Federation,16128,9.0,10%,58 : 42
1077,1001+,Shanghai Maritime UniversityChina,23552,18.8,3%,37 : 63
1078,1001+,Shibaura Institute of TechnologyJapan,9911,17.7,4%,15 : 85
1079,1001+,Siberian Federal UniversityRussian Federation,28008,11.3,1%,47 : 53
1080,1001+,Sidi Mohamed Ben Abdellah UniversityMorocco,82558,58.3,2%,45 : 55
1081,1001+,Sofia UniversityBulgaria,23956,13.7,4%,65 : 35
1082,1001+,Southwest Jiaotong UniversityChinaExplore,40819,15.3,2%,26 : 74
1083,1001+,SRM Institute of Science and TechnologyIndia,42886,15.3,2%,23 : 77
1084,1001+,Tamil Nadu Agricultural UniversityIndia,5780,7.1,0%,62 : 38
1085,1001+,Tamkang UniversityTaiwan,27060,24.0,6%,48 : 52
1086,1001+,Technical University of LiberecCzech Republic,6129,12.1,9%,54 : 46
1087,1001+,Tokyo City UniversityJapan,7904,15.6,1%,22 : 78
1088,1001+,Tokyo Denki UniversityJapan,9400,25.7,2%,10 : 90
1089,1001+,Tottori UniversityJapan,6165,8.0,2%,36 : 64
1090,1001+,Toyo UniversityJapan,30142,33.5,1%,41 : 59
1091,1001+,University of Tunis El ManarTunisia,30301,16.7,1%,76 : 24
1092,1001+,Unisinos UniversityBrazil,14412,20.9,1%,52 : 48
1093,1001+,Ural Federal UniversityRussian Federation,24917,9.8,7%,46 : 54
1094,1001+,Universiti Utara MalaysiaMalaysia,14315,13.0,18%,73 : 27
1095,1001+,Utsunomiya UniversityJapan,4928,14.5,4%,36 : 64
1096,1001+,"University of Veterinary and Animal Sciences, LahorePakistan",5003,28.6,0%,45 : 55
1097,1001+,V.N. Karazin Kharkiv National UniversityUkraine,16067,9.8,27%,53 : 47
1098,1001+,Volgograd State Technical UniversityRussian Federation,9254,12.0,6%,
1099,1001+,Voronezh State UniversityRussian Federation,15468,10.1,9%,58 : 42
1100,1001+,Yazd UniversityIran,13600,23.9,0%,56 : 44
1101,1001+,Yeditepe UniversityTurkey,23260,25.1,1%,52 : 48
1102,1001+,University of ZanjanIran,10305,25.8,0%,55 : 45
